service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
208,0,0,0,0,0,0,0,20250404,20251213
209,0,0,0,0,0,0,0,20250404,20251213
210,0,0,0,0,0,0,0,20250404,20251213
211,0,0,0,0,0,0,0,20250404,20251213
212,0,0,0,0,0,0,0,20250404,20251213
213,0,0,0,0,0,0,0,20250404,20251213
214,0,0,0,0,0,0,0,20250404,20251213
215,0,0,0,0,0,0,0,20250404,20251213
216,0,0,0,0,0,0,0,20250404,20251213
217,0,0,0,0,0,0,0,20250404,20251213
218,0,0,0,0,0,0,1,20250404,20251213
219,1,1,1,1,1,0,0,20250404,20251213
220,0,0,0,0,0,1,0,20250404,20251213
221,0,0,0,0,0,1,1,20250404,20251213
222,0,0,0,0,0,0,0,20250404,20251213
223,0,0,0,0,0,0,0,20250404,20251213
224,0,0,0,0,0,0,0,20250404,20251213
225,0,0,0,0,0,0,0,20250404,20251213
226,0,0,0,0,0,0,0,20250404,20251213
227,0,0,0,0,0,0,0,20250404,20251213
228,0,0,0,0,0,0,0,20250404,20251213
229,0,0,0,0,0,0,0,20250404,20251213
230,0,0,0,0,0,0,0,20250404,20251213
231,1,1,1,1,1,0,0,20250404,20251213
232,0,0,0,0,0,0,0,20250404,20251213
233,0,0,0,0,0,0,0,20250404,20251213
234,0,0,0,0,0,0,0,20250404,20251213
235,0,0,0,0,0,0,0,20250404,20251213
236,1,0,0,0,0,0,0,20250404,20251213
237,0,1,1,1,1,0,0,20250404,20251213
238,0,0,0,0,0,0,0,20250404,20251213
239,0,1,0,0,0,0,0,20250404,20251213
240,0,0,0,0,0,0,0,20250404,20251213
241,0,0,0,0,0,0,0,20250404,20251213
242,0,1,0,0,1,0,0,20250404,20251213
243,0,0,1,1,0,0,0,20250404,20251213
244,0,0,0,0,0,0,0,20250404,20251213
245,0,0,0,0,0,1,1,20250404,20251213
246,0,0,0,0,0,0,0,20250404,20251213
247,0,0,0,0,1,0,0,20250404,20251213
248,1,1,1,1,0,0,0,20250404,20251213
249,0,0,0,0,0,0,0,20250404,20251213
250,0,0,0,0,0,0,0,20250404,20251213
251,0,0,0,0,0,0,0,20250404,20251213
252,1,1,1,1,1,0,0,20250404,20251213
253,0,0,0,0,0,0,0,20250404,20251213
254,1,1,1,1,1,0,0,20250404,20251213
255,1,1,1,1,0,0,0,20250404,20251213
256,0,0,1,0,0,0,0,20250404,20251213
257,1,1,0,1,1,0,0,20250404,20251213
258,1,1,1,1,1,0,0,20250404,20251213
259,0,0,0,0,0,0,0,20250404,20251213
260,1,1,1,1,1,0,0,20250404,20251213
261,0,0,0,0,0,0,0,20250404,20251213
262,1,1,1,1,1,0,0,20250404,20251213
263,0,0,0,0,0,0,0,20250404,20251213
264,0,0,0,0,0,0,0,20250404,20251213
265,0,0,0,0,0,0,0,20250404,20251213
266,1,1,1,1,1,0,0,20250404,20251213
267,0,0,0,0,0,1,0,20250404,20251213
268,1,1,1,1,1,0,0,20250404,20251213
269,0,0,0,0,1,0,0,20250404,20251213
